Mes y año;Arica y Parinacota;Tarapacá;Antofagasta;Atacama;Coquimbo;Valparaíso;Metropolitana;O'Higgins;Maule;Ñuble;Biobío;La Araucanía;Los Ríos;Los Lagos;Aysén;Magallanes;Total
ene-14;5.088;9.555;31.348;14.808;34.648;76.094;257.437;32.094;30.597;12.692;52.839;34.448;13.453;30.223;3.579;8.512;647.416
feb-14;5.006;9.414;30.347;14.552;36.790;78.423;244.038;32.731;31.586;13.226;53.136;37.145;14.592;31.737;3.517;8.118;644.358
mar-14;5.893;10.351;36.240;15.365;33.562;77.747;315.990;36.944;33.867;12.970;59.967;33.435;13.791;31.859;3.689;9.628;731.295
abr-14;5.477;9.127;34.558;14.677;31.575;73.683;293.688;34.706;31.727;12.206;56.130;31.389;12.812;29.471;3.307;8.833;683.367
may-14;5.618;9.798;35.406;15.166;32.961;74.167;307.467;35.402;32.975;12.601;59.511;32.868;13.564;31.414;3.453;9.306;711.676
jun-14;5.792;9.208;35.129;14.682;31.701;71.535;305.192;33.752;30.850;11.982;57.100;30.855;12.903;30.078;3.369;9.017;693.146
jul-14;5.707;9.797;34.207;14.534;31.964;72.650;288.096;33.454;31.153;12.485;56.511;31.707;13.113;30.830;3.401;9.231;678.840
ago-14;6.062;10.624;37.571;15.920;34.402;78.984;326.605;36.929;34.159;13.223;61.788;34.346;14.289;33.649;3.625;9.723;751.898
sep-14;5.862;9.845;36.447;15.538;34.190;76.188;305.429;35.401;32.479;12.842;60.608;33.508;13.651;31.894;3.449;9.228;716.558
oct-14;6.007;10.463;37.686;16.014;33.977;78.852;325.186;36.619;33.883;13.220;61.991;35.278;14.238;33.707;3.829;9.900;750.849
nov-14;5.977;10.219;36.914;15.856;33.334;78.029;322.097;36.510;33.216;12.920;60.899;33.926;13.812;32.869;3.703;10.009;740.290
dic-14;6.896;12.192;44.135;19.557;42.062;98.818;379.372;46.205;42.229;16.802;76.925;43.177;16.881;40.770;4.465;11.319;901.804
ene-15;5.763;10.348;34.331;16.008;38.562;86.145;288.831;37.239;34.224;14.184;59.901;40.160;15.542;35.010;3.811;9.434;729.492
feb-15;5.730;10.113;32.938;15.615;40.168;86.590;269.783;36.853;34.593;14.434;59.100;41.512;16.571;36.473;3.753;8.978;713.203
mar-15;6.467;11.151;38.504;16.111;36.662;84.201;336.806;39.501;35.876;14.036;65.145;37.135;15.347;35.468;3.920;10.162;786.494
abr-15;6.001;10.003;37.158;12.639;35.687;80.668;316.522;38.476;34.364;13.281;61.697;34.865;14.425;33.703;3.642;9.547;742.678
may-15;6.371;10.700;39.139;15.055;36.716;84.142;335.834;39.592;35.955;13.815;65.455;36.466;15.104;35.506;3.914;9.988;783.753
jun-15;6.246;10.573;37.489;15.315;34.827;79.590;319.817;37.063;33.325;13.011;61.991;34.431;14.510;33.729;3.678;9.697;745.293
jul-15;6.305;10.611;37.325;15.349;35.227;81.431;313.967;37.136;34.062;13.769;62.491;36.423;14.869;34.808;3.828;10.068;747.668
ago-15;6.625;11.071;39.892;16.180;36.155;84.464;345.983;39.265;35.668;13.911;66.179;36.873;15.378;36.558;4.161;10.291;798.656
sep-15;6.386;10.379;38.067;15.887;36.040;81.683;323.248;37.661;33.836;13.466;63.663;36.363;14.862;34.817;3.974;10.053;760.385
oct-15;6.621;10.939;39.496;16.411;37.043;86.698;344.612;39.519;36.186;14.022;66.763;38.626;15.868;37.398;4.279;10.817;805.298
nov-15;6.750;10.657;38.720;15.871;35.684;84.425;343.926;38.932;34.882;13.597;65.009;36.847;15.293;36.399;4.090;10.970;792.053
dic-15;7.664;12.795;45.619;19.620;44.663;108.412;408.701;49.391;45.431;18.053;82.326;47.685;18.802;45.242;4.828;13.024;972.256
ene-16;6.251;11.005;35.848;15.757;41.073;94.489;305.005;38.767;36.549;14.877;62.653;44.197;16.494;38.461;4.228;10.229;775.885
feb-16;6.262;10.850;34.843;15.981;43.697;96.101;297.924;40.238;38.148;15.851;64.787;48.363;18.346;41.594;4.261;10.421;787.666
mar-16;6.768;11.486;39.556;16.677;37.703;91.526;348.633;42.156;38.651;15.002;67.947;41.025;16.474;38.684;4.228;10.982;827.498
abr-16;6.517;10.726;38.575;16.183;36.231;86.061;343.719;40.937;35.754;14.052;65.979;39.829;15.629;37.350;3.958;10.782;802.281
may-16;6.527;10.845;38.621;16.007;35.846;85.210;342.039;40.095;35.605;14.047;66.621;39.897;15.745;37.062;3.946;10.653;798.764
jun-16;6.471;10.562;37.450;15.665;35.062;83.133;330.645;38.588;34.269;13.632;64.335;38.870;15.350;34.984;3.817;10.359;773.191
jul-16;6.835;11.531;39.617;16.644;38.797;91.478;347.219;41.653;37.266;15.192;69.752;43.665;16.857;39.615;4.171;11.442;831.732
ago-16;6.591;10.874;38.107;16.043;35.756;86.149;339.768;39.251;34.735;14.085;66.054;38.926;15.736;36.918;3.991;10.770;793.755
sep-16;6.618;11.109;39.634;17.076;38.509;90.257;349.808;41.072;36.557;14.683;69.768;42.086;16.517;38.586;4.029;10.989;827.298
oct-16;6.905;11.648;40.717;17.410;39.243;96.431;371.006;43.737;39.452;15.500;72.312;43.833;17.279;40.575;4.385;11.811;872.244
nov-16;6.832;10.980;38.728;16.417;36.470;88.824;355.951;40.973;36.122;14.387;68.292;40.353;15.974;38.053;4.135;11.613;824.103
dic-16;7.929;13.554;47.208;20.768;47.304;115.837;432.401;52.663;47.205;19.251;87.763;52.349;20.613;48.722;4.978;13.942;1.032.486
ene-17;6.459;11.545;35.536;16.674;44.009;99.666;320.113;41.580;37.272;15.298;66.420;48.026;18.603;39.505;4.238;10.927;815.872
feb-17;6.347;10.951;34.508;16.253;44.465;99.588;297.852;41.788;37.814;15.671;65.293;50.082;20.004;41.724;4.222;10.649;797.212
mar-17;7.038;11.697;39.762;17.507;39.181;95.520;364.840;44.590;39.377;15.390;71.809;44.310;18.300;40.481;4.169;11.713;865.683
abr-17;7.085;11.414;39.760;17.269;39.037;97.139;367.415;44.669;39.470;15.187;71.649;43.768;17.796;40.018;4.186;11.575;867.438
may-17;6.676;10.853;37.478;16.431;36.026;86.471;346.096;40.887;35.996;14.083;67.349;40.112;16.718;37.728;3.951;10.773;807.631
jun-17;6.652;10.845;37.621;16.483;35.911;87.589;348.243;40.810;35.872;14.174;67.803;40.126;17.168;38.023;3.833;10.647;811.799
jul-17;7.043;11.557;38.928;17.081;38.993;94.069;359.170;43.266;38.354;15.312;71.024;43.874;18.287;40.740;4.137;11.614;853.447
ago-17;6.801;11.454;38.017;16.837;36.672;90.223;352.931;42.009;36.817;14.675;69.388;41.185;17.568;39.313;3.980;11.231;829.102
sep-17;6.950;11.794;39.582;18.164;41.076;98.711;371.670;45.435;39.983;15.941;75.007;45.414;19.010;42.282;4.081;11.535;886.635
oct-17;6.979;11.812;39.089;17.536;38.143;96.212;373.882;44.819;39.053;15.169;71.766;43.081;18.192;40.696;4.193;11.741;872.363
nov-17;7.239;11.737;38.313;17.236;37.912;93.344;374.948;44.720;38.548;15.114;71.710;42.808;18.117;40.760;4.214;12.091;868.811
dic-17;8.413;14.598;47.748;22.046;50.180;126.069;466.907;59.268;51.897;20.767;94.404;56.877;23.515;53.243;5.169;14.475;1.115.575
ene-18;6.692;11.977;34.859;16.879;44.346;101.472;328.984;43.394;38.864;16.069;68.006;49.238;19.681;42.273;4.376;10.898;838.010
feb-18;6.619;11.767;34.688;17.088;47.371;105.150;316.967;44.897;40.764;17.056;70.106;53.639;21.930;45.401;4.322;10.805;848.571
mar-18;7.865;13.291;42.132;19.139;44.818;109.932;410.092;51.213;44.894;17.523;80.054;50.173;20.899;46.987;4.492;12.633;976.137
abr-18;7.212;11.617;38.653;17.252;39.573;95.380;367.395;44.964;39.316;15.540;71.664;44.112;18.128;41.035;4.060;11.419;867.321
may-18;7.176;11.595;38.018;17.067;39.280;94.380;364.531;44.120;38.984;15.095;71.948;43.416;18.001;40.534;4.001;11.018;859.167
jun-18;7.240;11.860;38.616;17.331;40.191;96.413;377.620;45.107;39.680;15.092;73.714;44.394;18.621;42.181;4.466;10.937;883.464
jul-18;7.406;12.129;38.638;17.270;40.786;97.936;365.961;44.608;39.807;15.376;73.063;45.470;18.528;41.652;4.446;11.334;874.408
ago-18;7.210;11.851;39.049;17.521;39.795;95.339;374.729;44.948;39.282;15.313;74.204;44.716;18.731;41.626;4.505;10.930;879.745
sep-18;7.701;12.377;40.992;18.737;45.256;105.250;392.184;48.918;43.336;17.006;79.876;49.161;20.207;44.732;4.726;11.176;941.634
oct-18;7.735;12.175;39.540;17.786;40.451;97.572;376.247;46.327;40.603;15.840;74.604;45.312;18.569;42.082;4.632;11.173;890.648
nov-18;8.163;12.002;39.561;17.541;41.185;100.358;383.295;46.812;40.884;16.074;75.339;46.039;18.845;42.591;4.669;11.395;904.755
